study_hours,attendance,assignment_score,internal_marks,result
1,35,30,25,Fail
2,40,35,30,Fail
3,45,40,35,Fail
4,50,45,40,Fail
5,55,50,45,Pass
6,60,55,50,Pass
7,65,60,55,Pass
8,70,65,60,Pass
9,75,70,65,Pass
10,80,75,70,Pass
11,85,80,75,Pass
12,90,85,80,Pass
13,95,90,88,Pass
2,38,34,28,Fail
3,42,38,32,Fail
4,48,42,38,Fail
5,58,52,48,Pass
6,62,57,52,Pass
7,68,63,58,Pass
8,72,67,62,Pass
9,78,73,68,Pass
10,82,77,72,Pass
11,87,82,77,Pass
12,92,87,82,Pass
13,97,92,90,Pass
1,36,31,27,Fail
2,41,36,31,Fail
3,46,41,36,Fail
4,51,46,41,Fail
5,56,51,46,Pass
6,61,56,51,Pass
7,66,61,56,Pass
8,71,66,61,Pass
9,76,71,66,Pass
10,81,76,71,Pass
11,86,81,76,Pass
12,91,86,81,Pass
13,96,91,89,Pass
2,39,33,29,Fail
3,44,39,34,Fail
4,49,44,39,Fail
5,54,49,44,Pass
6,59,54,49,Pass
7,64,59,54,Pass
8,69,64,59,Pass
9,74,69,64,Pass
10,79,74,69,Pass
11,84,79,74,Pass
12,89,84,79,Pass
13,94,89,87,Pass
1,37,32,26,Fail
2,43,37,33,Fail
3,47,42,37,Fail
4,52,47,42,Fail
5,57,52,47,Pass
6,63,58,53,Pass
7,67,62,57,Pass
8,73,68,63,Pass
9,77,72,67,Pass
10,83,78,73,Pass
11,88,83,78,Pass
12,93,88,83,Pass
13,98,93,91,Pass
2,40,34,30,Fail
3,45,39,35,Fail
4,50,44,40,Fail
5,55,49,45,Pass
6,60,54,50,Pass
7,65,59,55,Pass
8,70,64,60,Pass
9,75,69,65,Pass
10,80,74,70,Pass
11,85,79,75,Pass
12,90,84,80,Pass
13,95,89,88,Pass
1,34,29,24,Fail
2,39,34,29,Fail
3,44,39,34,Fail
4,49,44,39,Fail
5,54,49,44,Pass
6,59,54,49,Pass
7,64,59,54,Pass
8,69,64,59,Pass
9,74,69,64,Pass
10,79,74,69,Pass
11,84,79,74,Pass
12,89,84,79,Pass
13,94,89,87,Pass
1,36,30,26,Fail
2,41,35,31,Fail
3,46,40,36,Fail
4,51,45,41,Fail
5,56,50,46,Pass
6,61,55,51,Pass
7,66,60,56,Pass
8,71,65,61,Pass
9,76,70,66,Pass
10,81,75,71,Pass
11,86,80,76,Pass
12,91,85,81,Pass
13,96,90,89,Pass
2,42,36,32,Fail
3,47,41,37,Fail
4,52,46,42,Fail
5,57,51,47,Pass
6,62,56,52,Pass
7,67,61,57,Pass
8,72,66,62,Pass
9,77,71,67,Pass
10,82,76,72,Pass
11,87,81,77,Pass
12,92,86,82,Pass
13,97,91,90,Pass
5,55,50,45,Fail
8,72,65,60,Fail
